VARI,NOME,DESDE,TAM,F,CATEG,quesito,categorias,categorias_dict
V2106,"MES DE NASCIMENTO
1- JANEIRO
2- FEVEREIRO
3- MARÇO
4- ABRIL
5- MAIO
6- JUNHO
7- JULHO
8- AGOSTO
9- SETEMBRO
10- OUTUBRO
11- NOVEMBRO
12- DEZEMBRO
99- IGNORADO",16,2,N,13,MES DE NASCIMENTO,"1- JANEIRO
2- FEVEREIRO
3- MARÇO
4- ABRIL
5- MAIO
6- JUNHO
7- JULHO
8- AGOSTO
9- SETEMBRO
10- OUTUBRO
11- NOVEMBRO
12- DEZEMBRO
99- IGNORADO","{1: 'JANEIRO', 2: 'FEVEREIRO', 3: 'MARÇO', 4: 'ABRIL', 5: 'MAIO', 6: 'JUNHO', 7: 'JULHO', 8: 'AGOSTO', 9: 'SETEMBRO', 10: 'OUTUBRO', 11: 'NOVEMBRO', 12: 'DEZEMBRO', 99: 'IGNORADO'}"
V2156,ANO DE NASCIMENTO,18,3,N,,ANO DE NASCIMENTO,,
V2107,"CONDIÇÃO NO DOMICILIO
1- CHEFE DE FAMILIA
2- CONJUGE
3- FILHO(A) OU ENTEADO(A)
4- PAIS OU SOGROS
5- OUTROS PARENTES
6- AGREGADO
7- PENSIONISTA OU HOSPEDE
8- EMPREGADO DOMÉSTICO
9- INDIVIDUAL EM DOMICILIO COLETIVO",21,1,N,9,CONDIÇÃO NO DOMICILIO,"1- CHEFE DE FAMILIA
2- CONJUGE
3- FILHO(A) OU ENTEADO(A)
4- PAIS OU SOGROS
5- OUTROS PARENTES
6- AGREGADO
7- PENSIONISTA OU HOSPEDE
8- EMPREGADO DOMÉSTICO
9- INDIVIDUAL EM DOMICILIO COLETIVO","{1: 'CHEFE DE FAMILIA', 2: 'CONJUGE', 3: 'FILHO(A) OU ENTEADO(A)', 4: 'PAIS OU SOGROS', 5: 'OUTROS PARENTES', 6: 'AGREGADO', 7: 'PENSIONISTA OU HOSPEDE', 8: 'EMPREGADO DOMÉSTICO', 9: 'INDIVIDUAL EM DOMICILIO COLETIVO'}"
V2109,"ONDE NASCEU A PESSOA NATURAL DO MUNICÍPIO?
 - NÃO MORADOR
0- NÃO NATURAL
1- CIDADE
2- VILA
3- ZONA RURAL",22,1,N,5,ONDE NASCEU A PESSOA NATURAL DO MUNICÍPIO?," - NÃO MORADOR
0- NÃO NATURAL
1- CIDADE
2- VILA
3- ZONA RURAL","{0: 'NÃO NATURAL', 1: 'CIDADE', 2: 'VILA', 3: 'ZONA RURAL', '': 'NÃO MORADOR'}"
V2110,"TEMPO DE RESIDENCIA DO MORADOR PARA PESSOAS NATURAIS
 - NÃO APLICAVEL
0- NÃO NATURAL
1- MENOS DE 2 ANOS
2- DE 2 A MENOS 6 ANOS
3- 6 ANOS E MAIS
9- SEM DECLARAÇÃO",23,1,N,6,TEMPO DE RESIDENCIA DO MORADOR PARA PESSOAS NATURAIS," - NÃO APLICAVEL
0- NÃO NATURAL
1- MENOS DE 2 ANOS
2- DE 2 A MENOS 6 ANOS
3- 6 ANOS E MAIS
9- SEM DECLARAÇÃO","{0: 'NÃO NATURAL', 1: 'MENOS DE 2 ANOS', 2: 'DE 2 A MENOS 6 ANOS', 3: '6 ANOS E MAIS', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V2111,"SITUAÇÃO DO NASCIMENTO
 - NÃO MORADOR
0- NATURAL MUNICIPIO
1- URBANA
2- RURAL
9- SEM DECLARAÇÃO",24,1,N,5,SITUAÇÃO DO NASCIMENTO," - NÃO MORADOR
0- NATURAL MUNICIPIO
1- URBANA
2- RURAL
9- SEM DECLARAÇÃO","{0: 'NATURAL MUNICIPIO', 1: 'URBANA', 2: 'RURAL', 9: 'SEM DECLARAÇÃO', '': 'NÃO MORADOR'}"
V2112,"UNIDADE DA FEDERAÇÃO OU PAÍS ESTRANGEIRO ONDE NASCEU
VER VARIÁVEIS AUXILIARES",25,2,N,97,UNIDADE DA FEDERAÇÃO OU PAÍS ESTRANGEIRO ONDE NASCEU,VER VARIÁVEIS AUXILIARES,"{'': 'NÃO APLICAVEL', '00': 'BRASIL SEM ESPECIFICAÇÃO', '01': 'RONDONIA', '02': 'ACRE', '03': 'AMAZONAS', '04': 'RORAIMA', '05': 'PARA', '06': 'AMAPA', '07': 'MARANHÃO', '08': 'PIAUI', '09': 'CEARA', '10': 'RIO GRANDE DO NORTE', '11': 'PARAIBA', '12': 'PERNAMBUCO', '13': 'ALAGOAS', '14': 'FERNANDO DE NORONHA', '15': 'SERGIPE', '16': 'BAHIA', '17': 'MINAS GERAIS', '18': 'ESPIRITO SANTO', '19': 'RIO DE JANEIRO', '20': 'SÃO PAULO', '21': 'PARANA', '22': 'SANTA CATARINA', '23': 'RIO GRANDE DO SUL', '24': 'MATO GROSSO', '25': 'GOIAS', '26': 'DISTRITO FEDERAL', '30': 'ARGENTINA', '31': 'BOLIVIA', '32': 'BARBADOS', '33': 'CANADA', '34': 'CHILE', '35': 'COLOMBIA', '36': 'COSTA RICA', '37': 'CUBA', '38': 'EL SALVADOR', '39': 'EQUADOR', '40': 'ESTADOS UNIDOS', '41': 'GUATEMALA', '42': 'GUIANA', '43': 'HAITI', '44': 'HONDURAS', '45': 'JAMAICA', '46': 'MEXICO', '47': 'NICARAGUA', '48': 'PANAMA', '49': 'PARAGUAI', '50': 'PERU', '51': 'REPUBLICA DOMINICANA', '52': 'SURINAME', '53': 'TRINIDAD TOBAGO', '54': 'URUGUAI', '55': 'VENEZUELA', '56': 'OUTROS PAISES DA AMERICA', '57': 'ALEMANHA OCIDENTAL', '58': 'ALEMANHA ORIENTAL', '59': 'AUSTRIA', '60': 'BELGICA', '61': 'BULGARIA', '62': 'DINAMARCA', '63': 'ESPANHA', '64': 'FINLANDIA', '65': 'FRANÇA', '66': 'GRÃ–BRETANHA', '67': 'GRECIA', '68': 'HOLANDA', '69': 'HUNGRIA', '70': 'IRLANDA', '71': 'ITALIA', '72': 'IUGOSLAVIA', '73': 'NORUEGA', '74': 'POLONIA', '75': 'PORTUGAL', '76': 'ROMENIA', '77': 'SUECIA', '78': 'SUIÇA', '79': 'TCHECOSLOVAQUIA', '80': 'URSS', '81': 'OUTROS PAISES DA EUROPA', '82': 'EGITO', '83': 'OUTROS PAISES DA AFRICA', '84': 'CHINA CONTINENTAL', '85': 'CHINA FORMOSA', '86': 'COREIA DO NORTE', '87': 'COREIA DO SUL', '88': 'INDIA', '89': 'ISRAEL', '90': 'JAPÃO', '91': 'LIBANO', '92': 'PAQUISTÃO', '93': 'SIRIA', '94': 'TURQUIA', '95': 'OUTROS PAISES DA ASIA', '96': 'AUSTRALIA', '97': 'OUTROS PAISES DA OCEANIA', '99': 'ESTRANGEIRO SEM ESPECIFICAÇÃO'}"
V2113,IDADE QUE TINHA QUANDO SAIU DA UNIDA DA FEDERAÇÃO OU PAIS ESTRANGEIRO DE ORIGEM,27,2,N,,IDADE QUE TINHA QUANDO SAIU DA UNIDA DA FEDERAÇÃO OU PAIS ESTRANGEIRO DE ORIGEM,,
V2114,"TEMPO QUE MORA NESTE MUNICIPIO
 - NÃO APLICAVEL
1- MENOS DE 2 ANOS
2- DE 2 A MENOS 6 ANOS
3- 6 ANOS E MAIS
9- SEM DECLARAÇÃO",29,1,N,5,TEMPO QUE MORA NESTE MUNICIPIO," - NÃO APLICAVEL
1- MENOS DE 2 ANOS
2- DE 2 A MENOS 6 ANOS
3- 6 ANOS E MAIS
9- SEM DECLARAÇÃO","{1: 'MENOS DE 2 ANOS', 2: 'DE 2 A MENOS 6 ANOS', 3: '6 ANOS E MAIS', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V2115,"SITUAÇÃO QUANDO CHEGOU AO MUNICIPIO
 - NÃO APLICAVEL
1- URBANA
2- RURAL
9- SEM DECLARAÇÃO",30,1,N,4,SITUAÇÃO QUANDO CHEGOU AO MUNICIPIO," - NÃO APLICAVEL
1- URBANA
2- RURAL
9- SEM DECLARAÇÃO","{1: 'URBANA', 2: 'RURAL', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V2116,"QUANTO TEMPO MOROU NA SITUAÇÃO ANTERIOR
 - NÃO APLICAVEL
1- MENOS DE 2 ANOS
2- DE 2 A MENOS 6 ANOS
3- 6 ANOS E MAIS
9- SEM DECLARAÇÃO",31,1,N,5,QUANTO TEMPO MOROU NA SITUAÇÃO ANTERIOR," - NÃO APLICAVEL
1- MENOS DE 2 ANOS
2- DE 2 A MENOS 6 ANOS
3- 6 ANOS E MAIS
9- SEM DECLARAÇÃO","{1: 'MENOS DE 2 ANOS', 2: 'DE 2 A MENOS 6 ANOS', 3: '6 ANOS E MAIS', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V2117,"SITUAÇÃO ANTES DE MUDAR PARA O MUNICIPIO
 - NÃO APLICAVEL
1- MENOS DE 2 ANOS
2- DE 2 A MENOS 6 ANOS
3- 6 ANOS E MAIS
9- SEM DECLARAÇÃO",32,1,N,4,SITUAÇÃO ANTES DE MUDAR PARA O MUNICIPIO," - NÃO APLICAVEL
1- MENOS DE 2 ANOS
2- DE 2 A MENOS 6 ANOS
3- 6 ANOS E MAIS
9- SEM DECLARAÇÃO","{1: 'MENOS DE 2 ANOS', 2: 'DE 2 A MENOS 6 ANOS', 3: '6 ANOS E MAIS', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V2118,"TEMPO NA SITUAÇÃO ANTERIOR
 - NÃO APLICAVEL
1- MENOS DE 2 ANOS
2- DE 2 A MENOS 6 ANOS
3- 6 ANOS E MAIS
9- SEM DECLARAÇÃO",33,1,N,5,TEMPO NA SITUAÇÃO ANTERIOR," - NÃO APLICAVEL
1- MENOS DE 2 ANOS
2- DE 2 A MENOS 6 ANOS
3- 6 ANOS E MAIS
9- SEM DECLARAÇÃO","{1: 'MENOS DE 2 ANOS', 2: 'DE 2 A MENOS 6 ANOS', 3: '6 ANOS E MAIS', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V2119,"UF OU PAIS ESTRANGEIRO ANTES DE MUDAR
VER VARIÁVEIS AUXILIARES",34,2,N,97,UF OU PAIS ESTRANGEIRO ANTES DE MUDAR,VER VARIÁVEIS AUXILIARES,"{'': 'NÃO APLICAVEL', '00': 'BRASIL SEM ESPECIFICAÇÃO', '01': 'RONDONIA', '02': 'ACRE', '03': 'AMAZONAS', '04': 'RORAIMA', '05': 'PARA', '06': 'AMAPA', '07': 'MARANHÃO', '08': 'PIAUI', '09': 'CEARA', '10': 'RIO GRANDE DO NORTE', '11': 'PARAIBA', '12': 'PERNAMBUCO', '13': 'ALAGOAS', '14': 'FERNANDO DE NORONHA', '15': 'SERGIPE', '16': 'BAHIA', '17': 'MINAS GERAIS', '18': 'ESPIRITO SANTO', '19': 'RIO DE JANEIRO', '20': 'SÃO PAULO', '21': 'PARANA', '22': 'SANTA CATARINA', '23': 'RIO GRANDE DO SUL', '24': 'MATO GROSSO', '25': 'GOIAS', '26': 'DISTRITO FEDERAL', '30': 'ARGENTINA', '31': 'BOLIVIA', '32': 'BARBADOS', '33': 'CANADA', '34': 'CHILE', '35': 'COLOMBIA', '36': 'COSTA RICA', '37': 'CUBA', '38': 'EL SALVADOR', '39': 'EQUADOR', '40': 'ESTADOS UNIDOS', '41': 'GUATEMALA', '42': 'GUIANA', '43': 'HAITI', '44': 'HONDURAS', '45': 'JAMAICA', '46': 'MEXICO', '47': 'NICARAGUA', '48': 'PANAMA', '49': 'PARAGUAI', '50': 'PERU', '51': 'REPUBLICA DOMINICANA', '52': 'SURINAME', '53': 'TRINIDAD TOBAGO', '54': 'URUGUAI', '55': 'VENEZUELA', '56': 'OUTROS PAISES DA AMERICA', '57': 'ALEMANHA OCIDENTAL', '58': 'ALEMANHA ORIENTAL', '59': 'AUSTRIA', '60': 'BELGICA', '61': 'BULGARIA', '62': 'DINAMARCA', '63': 'ESPANHA', '64': 'FINLANDIA', '65': 'FRANÇA', '66': 'GRÃ–BRETANHA', '67': 'GRECIA', '68': 'HOLANDA', '69': 'HUNGRIA', '70': 'IRLANDA', '71': 'ITALIA', '72': 'IUGOSLAVIA', '73': 'NORUEGA', '74': 'POLONIA', '75': 'PORTUGAL', '76': 'ROMENIA', '77': 'SUECIA', '78': 'SUIÇA', '79': 'TCHECOSLOVAQUIA', '80': 'URSS', '81': 'OUTROS PAISES DA EUROPA', '82': 'EGITO', '83': 'OUTROS PAISES DA AFRICA', '84': 'CHINA CONTINENTAL', '85': 'CHINA FORMOSA', '86': 'COREIA DO NORTE', '87': 'COREIA DO SUL', '88': 'INDIA', '89': 'ISRAEL', '90': 'JAPÃO', '91': 'LIBANO', '92': 'PAQUISTÃO', '93': 'SIRIA', '94': 'TURQUIA', '95': 'OUTROS PAISES DA ASIA', '96': 'AUSTRALIA', '97': 'OUTROS PAISES DA OCEANIA', '99': 'ESTRANGEIRO SEM ESPECIFICAÇÃO'}"
V2222,"SABE LER E ESCREVER
 - MENOS DE 5 ANOS
1- SIM
2- ESQUECEU
3- NÃO SABE
9- SEM DECLARAÇÃO",36,1,N,5,SABE LER E ESCREVER," - MENOS DE 5 ANOS
1- SIM
2- ESQUECEU
3- NÃO SABE
9- SEM DECLARAÇÃO","{1: 'SIM', 2: 'ESQUECEU', 3: 'NÃO SABE', 9: 'SEM DECLARAÇÃO', '': 'MENOS DE 5 ANOS'}"
V2223,"ONDE APRENDEU A LER E ESCREVER
 - MENOS DE 5 ANOS
1- ESCOLA REGULAR
2- OUTRA FORMA
3- NÃO SABE LER NEM ESCREVER
9- SEM DECLARAÇÃO",37,1,N,5,ONDE APRENDEU A LER E ESCREVER," - MENOS DE 5 ANOS
1- ESCOLA REGULAR
2- OUTRA FORMA
3- NÃO SABE LER NEM ESCREVER
9- SEM DECLARAÇÃO","{1: 'ESCOLA REGULAR', 2: 'OUTRA FORMA', 3: 'NÃO SABE LER NEM ESCREVER', 9: 'SEM DECLARAÇÃO', '': 'MENOS DE 5 ANOS'}"
V2224,"SERIE QUE FREQUENTA NA ESCOLA
 - NÃO APLICAVEL
0- NÃO HA SERIE
1- 1ª SERIE
2- 2ª SERIE
3- 3ª SERIE
4- 4ª SERIE
5- 5ª SERIE
6- 6ª SERIE
7- 7ª SERIE
8- 8ª SERIE
9- SEM DECLARAÇÃO",38,1,N,11,SERIE QUE FREQUENTA NA ESCOLA," - NÃO APLICAVEL
0- NÃO HA SERIE
1- 1ª SERIE
2- 2ª SERIE
3- 3ª SERIE
4- 4ª SERIE
5- 5ª SERIE
6- 6ª SERIE
7- 7ª SERIE
8- 8ª SERIE
9- SEM DECLARAÇÃO","{0: 'NÃO HA SERIE', 1: '1ª SERIE', 2: '2ª SERIE', 3: '3ª SERIE', 4: '4ª SERIE', 5: '5ª SERIE', 6: '6ª SERIE', 7: '7ª SERIE', 8: '8ª SERIE', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V2225,"GRAU QUE FREQUENTA NA ESCOLA
 - NÃO APLICAVEL
0- NÃO HA SERIE
1- PRIMEIRO GRAU
2- SEGUNDO GRAU
3- MEDIO PRIMEIRO CICLO
4- MEDIO SEGUNDO CICLO
5- SUPERIOR
6- ALFABETIZAÇÃO DE ADULTOS
7- ADMISSÃO
8- SUPLETIVO
9- ARTIGO 99 - PRIMEIRO CICLO
10- ARTIGO 99 - SEGUNDO CICLO
11- VESTIBULAR
99- SEM DECLARAÇÃ",39,2,N,14,GRAU QUE FREQUENTA NA ESCOLA," - NÃO APLICAVEL
0- NÃO HA SERIE
1- PRIMEIRO GRAU
2- SEGUNDO GRAU
3- MEDIO PRIMEIRO CICLO
4- MEDIO SEGUNDO CICLO
5- SUPERIOR
6- ALFABETIZAÇÃO DE ADULTOS
7- ADMISSÃO
8- SUPLETIVO
9- ARTIGO 99 - PRIMEIRO CICLO
10- ARTIGO 99 - SEGUNDO CICLO
11- VESTIBULAR
99- SEM DECLARAÇÃ","{0: 'NÃO HA SERIE', 1: 'PRIMEIRO GRAU', 2: 'SEGUNDO GRAU', 3: 'MEDIO PRIMEIRO CICLO', 4: 'MEDIO SEGUNDO CICLO', 5: 'SUPERIOR', 6: 'ALFABETIZAÇÃO DE ADULTOS', 7: 'ADMISSÃO', 8: 'SUPLETIVO', 9: 'ARTIGO 99 – PRIMEIRO CICLO', 10: 'ARTIGO 99 – SEGUNDO CICLO', 11: 'VESTIBULAR', 99: 'SEM DECLARAÇÃ', '': 'NÃO APLICAVEL'}"
V2226,"SERIE - NÃO FREQUENTA ESCOLA
 - NÃO APLICAVEL
0- NÃO HA SERIE
1- 1ª SERIE
2- 2ª SERIE
3- 3ª SERIE
4- 4ª SERIE
5- 5ª SERIE
6- 6ª SERIE
7- 7ª SERIE
8- 8ª SERIE
9- SEM DECLARAÇÃO",41,1,N,11,SERIE - NÃO FREQUENTA ESCOLA," - NÃO APLICAVEL
0- NÃO HA SERIE
1- 1ª SERIE
2- 2ª SERIE
3- 3ª SERIE
4- 4ª SERIE
5- 5ª SERIE
6- 6ª SERIE
7- 7ª SERIE
8- 8ª SERIE
9- SEM DECLARAÇÃO","{0: 'NÃO HA SERIE', 1: '1ª SERIE', 2: '2ª SERIE', 3: '3ª SERIE', 4: '4ª SERIE', 5: '5ª SERIE', 6: '6ª SERIE', 7: '7ª SERIE', 8: '8ª SERIE', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V2227,"GRAU OU ESPECIALIZAÇÃO - NÃO FREQUENTA ESCOLA
 - NÃO APLICAVEL
0- NÃO HA SERIE
1- PRIMEIRO GRAU
2- SEGUNDO GRAU
3- MEDIO PRIMEIRO CICLO
4- MEDIO SEGUNDO CICLO
5- SUPERIOR
9- SEM DECLARAÇÃO",42,1,N,8,GRAU OU ESPECIALIZAÇÃO - NÃO FREQUENTA ESCOLA," - NÃO APLICAVEL
0- NÃO HA SERIE
1- PRIMEIRO GRAU
2- SEGUNDO GRAU
3- MEDIO PRIMEIRO CICLO
4- MEDIO SEGUNDO CICLO
5- SUPERIOR
9- SEM DECLARAÇÃO","{0: 'NÃO HA SERIE', 1: 'PRIMEIRO GRAU', 2: 'SEGUNDO GRAU', 3: 'MEDIO PRIMEIRO CICLO', 4: 'MEDIO SEGUNDO CICLO', 5: 'SUPERIOR', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V2229,"ESTADO CONJUGAL
 - MENOR DE 10 ANOS
1- CIVIL E RELIGIOSO
2- SO CIVIL
3- SO RELIGIOSO
4- OUTRA (CASADO)
5- SOLTEIRO
6- SEPARADO
7– DESQUITADO OU DIVORCIADO
8- VIUVO
9- SEM DECLARAÇÃO",43,1,N,10,ESTADO CONJUGAL," - MENOR DE 10 ANOS
1- CIVIL E RELIGIOSO
2- SO CIVIL
3- SO RELIGIOSO
4- OUTRA (CASADO)
5- SOLTEIRO
6- SEPARADO
7– DESQUITADO OU DIVORCIADO
8- VIUVO
9- SEM DECLARAÇÃO","{1: 'CIVIL E RELIGIOSO', 2: 'SO CIVIL', 3: 'SO RELIGIOSO', 4: 'OUTRA (CASADO)', 5: 'SOLTEIRO', 6: 'SEPARADO', 7: 'DESQUITADO OU DIVORCIADO', 8: 'VIUVO', 9: 'SEM DECLARAÇÃO', '': 'MENOR DE 10 ANOS'}"
V2230,ANO DO CASAMENTO,44,2,N,,ANO DO CASAMENTO,,
V2231,"ONDE FEZ CURSO PROFISSIONAL
 - MENOR DE 10 ANOS
1- EMPRESA
2- ESCOLAS TECNICA
3- SENAI
4- SENAC
5– OUTRA
6- NÃO FEZ
9- SEM DECLARAÇÃO",46,1,N,8,ONDE FEZ CURSO PROFISSIONAL," - MENOR DE 10 ANOS
1- EMPRESA
2- ESCOLAS TECNICA
3- SENAI
4- SENAC
5– OUTRA
6- NÃO FEZ
9- SEM DECLARAÇÃO","{1: 'EMPRESA', 2: 'ESCOLAS TECNICA', 3: 'SENAI', 4: 'SENAC', 5: 'OUTRA', 6: 'NÃO FEZ', 9: 'SEM DECLARAÇÃO', '': 'MENOR DE 10 ANOS'}"
V2232,"DURAÇÃO DO CURSO PROFISSIONAL
 - MENOR DE 10 ANOS
0- NÃO FEZ
1- ATE 3 MESES
2- MAIS DE 3 A 6 MESES
3- MAIS DE 6 A 12 MESES
4- MAIS DE 12 MESES
9- SEM DECLARAÇÃO",47,1,N,7,DURAÇÃO DO CURSO PROFISSIONAL," - MENOR DE 10 ANOS
0- NÃO FEZ
1- ATE 3 MESES
2- MAIS DE 3 A 6 MESES
3- MAIS DE 6 A 12 MESES
4- MAIS DE 12 MESES
9- SEM DECLARAÇÃO","{0: 'NÃO FEZ', 1: 'ATE 3 MESES', 2: 'MAIS DE 3 A 6 MESES', 3: 'MAIS DE 6 A 12 MESES', 4: 'MAIS DE 12 MESES', 9: 'SEM DECLARAÇÃO', '': 'MENOR DE 10 ANOS'}"
V2233,"ESPECIE DO CURSO PROFISSIONAL
VER VARIÁVEIS AUXILIARES",48,2,N,28,ESPECIE DO CURSO PROFISSIONAL,VER VARIÁVEIS AUXILIARES,"{'': 'MENOR DE 10 ANOS', '00': 'NÃO FEZ', '01': 'ADMINISTRAÇÃO GERENCIAL', '05': 'BUROCRATICA DE ESCRITORIO', '10': 'AGROPECUARIA', '20': 'INDUSTRIA MECANICA E METAL', '21': 'INDUSTRIA DE MADEIREIRA MOBILIARIA', '22': 'INDUSTRIA TEXTIL', '23': 'INDUSTRIA ALIMENTICIA', '24': 'INDUSTRIA DE VESTUARIO E CALÇADO', '25': 'EQUIPAMENTO ELETRICO', '26': 'INDUSTRIA DE PRODUTOS PLASTICOS', '27': 'INDUSTRIA GRAFICA', '28': 'OUTRA INDUSTRIA DE TRANSFORMAÇÃO', '30': 'CONSTRUÇÃO CIVIL', '40': 'COMERCIO DE MERCADORIAS', '50': 'TRANSPORTES', '55': 'COMUNICAÇÕES', '60': 'SERVIÇO DE ALOJAMENTO E ALIMENTAÇÃO', '61': 'SERVIÇO PESSOAL', '62': 'SERVIÇO DOMICILIAR', '63': 'SERVIÇO DE DIVISÃO DE RADIO E TELEVISÃO', '64': 'SERVIÇO TECNICO PROFISSIONAL', '65': 'SERVIÇO COMUNITARIO SOCIAL', '66': 'SERVIÇO MEDICO, ODONTOLOGICO E VETERINARIO', '70': 'ENSINO', '80': 'ADMINISTRAÇÃO PUBLICA, DEFESA E SEGURANÇA', '90': 'OUTROS'}"
V2234,"QUANTIDADE DE FILHOS NASCIDOS MORTOS
 - PREJUDICADO/MENOS 15 ANOS
0- NÃO TEVE
1- UM FILHO
2- DOIS FILHOS
3- TRES FILHOS
4- QUATRO FILHOS
5- CINCO FILHOS
6- SEIS FILHOS
7- SETE FILHOS
8- OITO E MAIS
9- SEM DECLARAÇÃO",50,1,N,11,QUANTIDADE DE FILHOS NASCIDOS MORTOS," - PREJUDICADO/MENOS 15 ANOS
0- NÃO TEVE
1- UM FILHO
2- DOIS FILHOS
3- TRES FILHOS
4- QUATRO FILHOS
5- CINCO FILHOS
6- SEIS FILHOS
7- SETE FILHOS
8- OITO E MAIS
9- SEM DECLARAÇÃO","{0: 'NÃO TEVE', 1: 'UM FILHO', 2: 'DOIS FILHOS', 3: 'TRES FILHOS', 4: 'QUATRO FILHOS', 5: 'CINCO FILHOS', 6: 'SEIS FILHOS', 7: 'SETE FILHOS', 8: 'OITO E MAIS', 9: 'SEM DECLARAÇÃO', '': 'PREJUDICADO/MENOS 15 ANOS'}"
V2235,FILHOS VIVOS JA MORTOS,51,2,N,,FILHOS VIVOS JA MORTOS,,
V2236,FILHOS VIVOS EM 16/11/76,53,2,N,,FILHOS VIVOS EM 16/11/76,,
V2237,"MES DE NASCIMENTO DO ULTIMO FILHO VIVO
 - NÃO APLICAVEL
0- NÃO TEVE FILHO
1- JANEIRO
2- FEVEREIRO
3- MARÇO
4- ABRIL
5- MAIO
6- JUNHO
7- JULHO
8- AGOSTO
9- SETEMBRO
10- OUTUBRO
11- NOVEMBRO
12- DEZEMBRO
20- NÃO SABE
99- SEM DECLARAÇÃO",55,2,N,16,MES DE NASCIMENTO DO ULTIMO FILHO VIVO," - NÃO APLICAVEL
0- NÃO TEVE FILHO
1- JANEIRO
2- FEVEREIRO
3- MARÇO
4- ABRIL
5- MAIO
6- JUNHO
7- JULHO
8- AGOSTO
9- SETEMBRO
10- OUTUBRO
11- NOVEMBRO
12- DEZEMBRO
20- NÃO SABE
99- SEM DECLARAÇÃO","{0: 'NÃO TEVE FILHO', 1: 'JANEIRO', 2: 'FEVEREIRO', 3: 'MARÇO', 4: 'ABRIL', 5: 'MAIO', 6: 'JUNHO', 7: 'JULHO', 8: 'AGOSTO', 9: 'SETEMBRO', 10: 'OUTUBRO', 11: 'NOVEMBRO', 12: 'DEZEMBRO', 20: 'NÃO SABE', 99: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V2238,ANO DE NASCIMENTO DO ULTIMO FILHO VIVO,57,3,N,,ANO DE NASCIMENTO DO ULTIMO FILHO VIVO,,
V2301,"QUE FEZ NA SEMANA DE REFERENCIA
 - MENOR DE 10 ANOS
0- SEM OCUPAÇÃO
1- ESTAVA TRABALHANDO
2- TINHA TRABALHO
3- PROCURANDO TRABALHO
4- PROCURANDO TRABALHO PELA 1ª VEZ
5- AFAZERES DOMESTICOS
6- FREQUENTA ESCOLA
7- APOSENTADO OU PENSIONISTA
8- VIVE DE RENDA
9- DOENTE OU INVALIDO",60,1,N,11,QUE FEZ NA SEMANA DE REFERENCIA," - MENOR DE 10 ANOS
0- SEM OCUPAÇÃO
1- ESTAVA TRABALHANDO
2- TINHA TRABALHO
3- PROCURANDO TRABALHO
4- PROCURANDO TRABALHO PELA 1ª VEZ
5- AFAZERES DOMESTICOS
6- FREQUENTA ESCOLA
7- APOSENTADO OU PENSIONISTA
8- VIVE DE RENDA
9- DOENTE OU INVALIDO","{0: 'SEM OCUPAÇÃO', 1: 'ESTAVA TRABALHANDO', 2: 'TINHA TRABALHO', 3: 'PROCURANDO TRABALHO', 4: 'PROCURANDO TRABALHO PELA 1ª VEZ', 5: 'AFAZERES DOMESTICOS', 6: 'FREQUENTA ESCOLA', 7: 'APOSENTADO OU PENSIONISTA', 8: 'VIVE DE RENDA', 9: 'DOENTE OU INVALIDO', '': 'MENOR DE 10 ANOS'}"
V2302,"QUE FEZ NOS ULTIMOS 12 MESES
 - MENOR DE 10 ANOS
1- TRABALHOU
2- AFAZERES DOMESTICOS
3- FREQUENTA ESCOLA
4- APOSENTADO OU PENSIONISTA
5- VIVE DE RENDA
6- DOENTE OU INVALIDO
7- NÃO TÊM TRABALHO
8– PREJUDICADO",61,1,N,9,QUE FEZ NOS ULTIMOS 12 MESES," - MENOR DE 10 ANOS
1- TRABALHOU
2- AFAZERES DOMESTICOS
3- FREQUENTA ESCOLA
4- APOSENTADO OU PENSIONISTA
5- VIVE DE RENDA
6- DOENTE OU INVALIDO
7- NÃO TÊM TRABALHO
8– PREJUDICADO","{1: 'TRABALHOU', 2: 'AFAZERES DOMESTICOS', 3: 'FREQUENTA ESCOLA', 4: 'APOSENTADO OU PENSIONISTA', 5: 'VIVE DE RENDA', 6: 'DOENTE OU INVALIDO', 7: 'NÃO TÊM TRABALHO', 8: 'PREJUDICADO', '': 'MENOR DE 10 ANOS'}"
