VARI,NOME,DESDE,TAM,CODI,S,F,C,CATEG,RENO,TE,categorias_dict,quesito
V504,ATIVIDADE/RAMO DO NEGÓCIO,54,3,,,N,,167,,,"{'11': 'CULTURA AGAVE', '12': 'CULTURA ALGODÃO', '13': 'CULTURA ARROZ', '14': 'CULTURA BANANA', '15': 'CULTURA CACAU', '16': 'CULTURA CAFÉ', '17': 'CULT CANA-AÇÚCAR', '18': 'CULTURA FUMO', '19': 'CULTURA MANDIOCA', '20': 'CULTURA MILHO', '21': 'CULTURA SOJA', '22': 'CULTURA TRIGO', '23': 'HORTIC FLORICULTUR', '24': 'SILVICULTURA', '26': 'PECUÁRIA', '27': 'AVICULTURA', '28': 'APICULT SERICULTUR', '29': 'ATIV NÃO DEFINIDA', '31': 'EXT BORRACHA', '32': 'EXT ERVA-MATE', '34': 'EXT FRUTOS SEMENTE', '35': 'EXT MADEIRAS', '36': 'PROD CARVÃO VEGETA', '37': 'ATIV NÃO DEFINIDA', '41': 'PESCA', '42': 'PISCICULTURA', '50': 'EXT APAR MAT CON', '52': 'EXT CARV PEDRA', '53': 'EXP SALINAS FONT', '54': 'FAIS GAR MIN NMET', '55': 'FAIS GAR MIN MET', '56': 'EXT MIN RADIOATIVO', '58': 'EXT MIN METÁLICOS', '59': 'ATIV NÃO DEFINIDA', '100': 'IND TRAN MIN NMET', '110': 'IND METALÚRGICAS', '120': 'IND MECÂNICAS', '130': 'IND MAT ELET COM', '140': 'IND MAT TRANSPORTE', '150': 'IND MADEIRA', '151': 'IND DOMIC ART PAL', '160': 'IND MOBILIÁRIO', '170': 'IND PAPEL PAPELÃO', '180': 'IND BORRACHA', '190': 'IND COUROS PELES', '200': 'IND QUIMICAS', '201': 'IND PROD PETRÓLEO', '220': 'IND PERF SABÃO VE', '230': 'IND PROD PLÁSTICOS', '240': 'IND TEXTEIS', '241': 'IND DOMIC TEXTEIS', '250': 'IND VESTUÁRIO', '251': 'IND CALÇADOS', '270': 'IND BEBIDAS', '280': 'IND FUMO', '290': 'IND EDIT GRÁFICAS', '300': 'ATIV NÃO DEFINIDA', '340': 'IND CONSTRUÇÃO', '353': 'ABAST ÁGUA ETC', '354': 'LIMP PUBL REM LIXO', '410': 'COM PROD AGROP EX', '412': 'COM TEC ART TECIDO', '413': 'COM MOV TAPEC ART', '414': 'COM PAPEL IMPRESSÃ', '415': 'COM FERRAGENS ETC', '416': 'COM MAQ APAREL IN', '417': 'COM VEICULOS ACES', '420': 'COM AMBULANTE', '421': 'FEIRAS', '422': 'SUPERMERCADOS', '424': 'ATIV NÃO DEFINIDA', '451': 'BANCOS FINANC ETC', '452': 'CAIXAS ECON COOP', '453': 'SEGUROS', '461': 'ADM COM INC IMÓVEI', '462': 'COM TIT E MOEDAS', '463': 'CONC LOTERIAS ETC', '464': 'ORG CART CRÉDITO', '471': 'TRANS TRAÇÃO ANIMA', '473': 'TRANS RODOV CARGA', '474': 'TRANS FERROVIÁRIO', '475': 'TRANS MARÍTIMO', '476': 'TRANSPORTE AÉREO', '477': 'ATIV NÃO DEFINIDA', '481': 'SERV POSTAIS', '482': 'COMUNIC TELEFÔNICA', '511': 'SERV ALOJAMENTO', '512': 'SERV ALIMENTAÇÃO', '521': 'SERV REP ELÉTRICA', '522': 'SERV REP VEÍCULOS', '523': 'SERV REP MADEIRA', '524': 'SERV REP INSTALAÇÃ', '532': 'SERV CONFECÇÃO', '533': 'SERV PESS N INCLUS', '541': 'SERV CONS VESTUÁRI', '543': 'SERV VIG E GUARDA', '544': 'SER DOM REMUNERADO', '545': 'SER DOMIC N INCLUS', '551': 'SERV DIV ARTIST', '552': 'SERV RADIODIFUSÃO', '571': 'SERV JURÍDICO', '573': 'SERV ASSESSORIA', '574': 'SERV ENGEN ARQUI', '576': 'SERV TRADUÇÃO', '577': 'ESTUD DE PINTURA', '578': 'SERV TECN-PROFISS', '582': 'SERV AUX COM MERC', '583': 'SERV ARMAZENAGEM', '584': 'SERV AUX COM/INDU', '585': 'SERV AUX SEGUROS', '586': 'SERV TRANSP N ROD', '587': 'SERV AUX TRANS RO', '588': 'SERV AUX TRANS MA', '589': 'SERV AUX TOD ATIV', '610': 'ASSIST BENEFICEN', '611': 'PREV SOC PÚBLICA', '612': 'PREV SOC PARTICULA', '613': 'SIND ASSOC CLASSE', '614': 'INST CIENT TECNOL', '615': 'INST FILOS CULTURA', '616': 'CULTO ATIV AUXILIA', '617': 'ENT DESP RECREATIV', '618': 'ORGANIZ CIV POLIT', '619': 'SERV COMUNIT SOC', '623': 'SERV ODONTOLOGICO', '624': 'SERV VETERINÁRIA', '631': 'ENSINO PÚBLICO', '632': 'ENSINO PARTICULAR', '711': 'PODER LEGISLATIVO', '712': 'JUSTIÇA ATIV AUXI', '713': 'SERV ADM FEDERAIS', '714': 'SERV ADM ESTADUAIS', '715': 'SERV ADM MUNICIPAI', '721': 'EXÉRCITO', '722': 'MARINHA DE GUERRA', '723': 'AERONÁUTICA', '724': 'POLÍCIA MILITAR', '725': 'POLÍCIA CIVIL', '726': 'CORPO BOMBEIROS', '727': 'OUTR ORG GOV SEGU', '801': 'ORG INTER REP EST', '902': 'ATIV MAL DEFINIDA'}",ATIVIDADE/RAMO DO NEGÓCIO
V505,POSIÇÃO NA OCUPAÇÃO,57,1,,,N,,11,,,"{'0': 'NÃO REMUNERADO', '1': 'EMPREGADO', '2': 'PARC.EMPREGADO', '3': 'TRAB.AGRIC.C/INT', '4': 'TRAB.AGRIC.S/INT', '5': 'CONTA PRÓPRIA', '6': 'PARC.CONTA PRÓPRIA', '7': 'EMPREGADOR', '8': 'PARC.EMPREGADOR', '9': 'SEM DECLARAÇÃO'}",POSIÇÃO NA OCUPAÇÃO
V506,TEM CARTEIRA ASSINADA,58,1,,,N,,4,,,"{'2': 'SIM', '4': 'NÃO', '9': 'SEM DECLARAÇÃO'}",TEM CARTEIRA ASSINADA
V5070,TEM REND.DINHEIRO,59,1,,,N,,2,,,{'2': 'SIM'},TEM REND.DINHEIRO
V537,REND.MENSAL DINHEIRO,60,9,,,N,,,,,{},REND.MENSAL DINHEIRO
V547,FAIXA REND. DINHEIRO,69,1,,,N,,11,,,"{'1': '1 A 499', '2': '500 A 999', '3': '1000 A 4999', '4': '5000 A 9999', '5': '10000 A 49999', '6': '50000 A 99999', '7': '100000 A 299999', '8': '300000 OU MAIS', '9': '999999999', '0': 'PREJUIZO'}",FAIXA REND. DINHEIRO
V5071,TEM REND.PROD.MERC.,70,1,,,N,,2,,,{'4': 'SIM'},TEM REND.PROD.MERC.
V538,REND.MENSAL PROD.MER,71,9,,,N,,,,,{},REND.MENSAL PROD.MER
V548,FAIXA REND. PROD.MER,80,1,,,N,,11,547,,"{'1': '1 A 499', '2': '500 A 999', '3': '1000 A 4999', '4': '5000 A 9999', '5': '10000 A 49999', '6': '50000 A 99999', '7': '100000 A 299999', '8': '300000 OU MAIS', '9': '999999999', '0': 'PREJUIZO'}",FAIXA REND. PROD.MER
V5072,TEM REND.BENEFÍCIOS,81,1,,,N,,2,,,{'6': 'SIM'},TEM REND.BENEFÍCIOS
V508,HORAS NORMAL.SEMANA,82,2,,,N,,,,,{},HORAS NORMAL.SEMANA
V5090,TEM REN.DINH.OUTRA,84,1,,,N,,2,,,{'1': 'SIM'},TEM REN.DINH.OUTRA
V549,REND.MENS.DINH.OUTRA,85,9,,,N,,,,,{},REND.MENS.DINH.OUTRA
V559,FAIXA REND.DINH.OUTRA,94,1,,,N,,11,547,,"{'1': '1 A 499', '2': '500 A 999', '3': '1000 A 4999', '4': '5000 A 9999', '5': '10000 A 49999', '6': '50000 A 99999', '7': '100000 A 299999', '8': '300000 OU MAIS', '9': '999999999', '0': 'PREJUIZO'}",FAIXA REND.DINH.OUTRA
V5091,TEM REND.PROD.OUTRA,95,1,,,N,,2,,,{'3': 'SIM'},TEM REND.PROD.OUTRA
V550,REND.MENS.PROD.OUTRA,96,9,,,N,,,,,{},REND.MENS.PROD.OUTRA
V560,FAIXA REND.PROD.OUTRA,105,1,,,N,,11,547,,"{'1': '1 A 499', '2': '500 A 999', '3': '1000 A 4999', '4': '5000 A 9999', '5': '10000 A 49999', '6': '50000 A 99999', '7': '100000 A 299999', '8': '300000 OU MAIS', '9': '999999999', '0': 'PREJUIZO'}",FAIXA REND.PROD.OUTRA
V5092,TEM REND.BENEFÍCIOS,106,1,,,N,,2,,,{'5': 'SIM'},TEM REND.BENEFÍCIOS
V5093,É NÃO REMUNERADO,107,1,,,N,,2,,,{'7': 'SIM'},É NÃO REMUNERADO
V510,HORAS NORMAL.SEM.OUTRO,108,2,,,N,,,,,{},HORAS NORMAL.SEM.OUTRO
V511,CONTRIB.INST.PREVIDÊNCIA,110,1,,,N,,4,,,"{'1': 'SIM', '3': 'NÃO', '9': 'SEM DECLARAÇÃO'}",CONTRIB.INST.PREVIDÊNCIA
V512,QUE INST.PREVIDÊNCIA,111,1,,,N,,5,,,"{'2': 'FEDERAL', '4': 'ESTADUAL', '6': 'MUNICIPAL', '9': 'SEM DECLARAÇÃO'}",QUE INST.PREVIDÊNCIA
V513,TOMOU PROV.CONS.TRABALHO,112,1,,,N,,4,,,"{'1': 'SIM', '3': 'NÃO', '9': 'SEM DECLARAÇÃO'}",TOMOU PROV.CONS.TRABALHO
V514,TOMOU PROV.2 MESES,113,1,,,N,,4,,,"{'2': 'SIM', '4': 'NÃO', '9': 'SEM DECLARAÇÃO'}",TOMOU PROV.2 MESES
V515,QUE PROVIDÊNCIA TOMOU,114,1,,,N,,9,,,"{'1': 'CONS.EMPREGADOR', '2': 'FEZ CONCURSO', '3': 'CONS.AGÊNCIA', '4': 'COLOCOU ANÚNCIO', '5': 'CONS.PARENTE', '6': 'OUTRA', '7': 'NADA FEZ', '9': 'SEM DECLARAÇÃO'}",QUE PROVIDÊNCIA TOMOU
V516,QTO TEMPO PROC.(MÊS),115,2,,,N,,,,,{},QTO TEMPO PROC.(MÊS)
V566,QTO TEMPO PROC.(SEM),117,2,,,N,,,,,{},QTO TEMPO PROC.(SEM)
V517,JÁ TRAB.ANTES C/REM.,119,1,,,N,,4,,,"{'2': 'SIM', '4': 'NÃO', '9': 'SEM DECLARAÇÃO'}",JÁ TRAB.ANTES C/REM.
V518,JÁ TRAB.ANTES S/REM.,120,1,,,N,,4,,,"{'1': 'SIM', '3': 'NÃO', '9': 'SEM DECLARAÇÃO'}",JÁ TRAB.ANTES S/REM.
V519,QTO TEMPO NÃO TRAB(ANOS),121,2,,,N,,,,,{},QTO TEMPO NÃO TRAB(ANOS)
V569,QTO TEMPO NÃO TRAB(MÊS),123,2,,,N,,,,,{},QTO TEMPO NÃO TRAB(MÊS)
V520,OCUPAÇÃO ANTERIOR,125,3,,,N,,367,503,,"{'1': 'AGRICULTOR', '2': 'CRIADOR BOVINO', '3': 'AVICULTOR', '4': 'CRIADOR DIVERSOS', '5': 'PROP.AGROP.S/ESP', '6': 'EMP.EXT.VEG.PESC', '7': 'EMP. EXTR. MINERAL', '9': 'EMP. CONSTR. CIVIL', '10': 'COMERCIANTE', '11': 'HOTEL DON PENSÃO', '12': 'EMPRESA TRANSPORTE', '20': 'MINISTRO ETC', '21': 'DIRETOR ASSESSOR', '30': 'ADM. AGROPEC.', '31': 'ADM.EXT.VEG.PESCA', '32': 'ADM.EXT. MINERAL', '34': 'ADM.CONSTR.CIVIL', '35': 'ADM.COM.MERCADORIA', '36': 'ADM. HOTEIS', '37': 'ADM. TRANSPORTES', '38': 'ADM. FINANCEIRAS', '39': 'OUTROS ADMINISTR', '40': 'ENCARREGADO ADMI', '50': 'FISCAIS TRIBUTOS', '51': 'INSPET. TRABALHO', '53': 'CAIXAS', '54': 'ALMOXARIFES', '55': 'EXPEDIDORES', '56': 'DATILOGRAFOS', '57': 'OP.TELEIMPRESSOR', '58': 'OP.MAQ.P.AUTOMAT', '59': 'SECRETARIAS', '60': 'AUX.CONTABILIDADE', '61': 'OP.COPIADORAS', '62': 'ARQUIVISTAS', '63': 'RECEPCIONISTAS', '64': 'AUX. ADMINISTRATIV', '65': 'AUX. ESCRITÓRIO', '101': 'ENGENHEIRO', '102': 'ARQUITETOS', '103': 'AGRIMENSORES', '104': 'CARTÓGRAFOS', '111': 'DESENHISTAS', '112': 'TÉC.EDIFICAÇÃO', '113': 'OUTR. OCUP. ENG.', '121': 'QUÍMICOS', '122': 'FARMACEUTICOS', '123': 'FÍSICOS', '124': 'GEÓLOGOS MINERAL.', '125': 'OUT.QUIMICA/FÍSICA', '131': 'TÉC. QUIMICOS', '132': 'PRATICO FARMÁCIA', '133': 'TEC.METEOROLOGIA', '141': 'AGRONOMOS', '142': 'BIOLOGISTAS', '143': 'FARMACOLOGISTAS', '144': 'VETERINÁRIOS', '151': 'MÉDICOS', '152': 'DENTISTAS', '153': 'ENFERMEIROS DIP', '154': 'OUT. MEDICINA', '161': 'ACADEMICO HOSP', '163': 'MASSAGISTAS', '164': 'ORTOPTISTAS/ÓTICA', '165': 'OP.EQ.MÉDICOS', '166': 'PARTEIRAS', '167': 'PROTETICOS', '168': 'TÉC.ANAL.CLÍNICA', '171': 'MATEMÁTICOS', '172': 'ESTATÍSTICOS', '173': 'ANAL. SISTEMAS', '181': 'ECONOMISTAS', '182': 'CONTADORES', '183': 'TEC. ADMINISTRAÇÃO', '191': 'TEC. CONTABILIDADE', '192': 'TEC. ESTATÍSTICA', '193': 'PROG. COMPUTADOR', '201': 'SOCIOLOGOS ETC', '202': 'PSICOLOGOS', '203': 'GEOGRAFOS', '204': 'ASSIST. SOCIAIS', '205': 'OUT. CIENT. SOC.', '211': 'PROF. PESQUISADOR', '212': 'PROF. SUPERIOR', '213': 'PROF. 2.GRAU', '214': 'PROF.5 A 8 SÉRIE', '215': 'PROF.1 A 4 SÉRIE', '216': 'PROF. 1. GRAU', '217': 'PROF. PRÉ.ESC.', '218': 'PROF. PROFISS.', '219': 'PROFESSOR', '221': 'ORIENT. ENSINO', '222': 'INSPETOR ALUNOS', '231': 'MAGISTRADOS', '232': 'PROCURADORES ETC', '233': 'ADVOGADOS ETC', '241': 'TABELIÃES', '242': 'ESCRIVÃES', '243': 'OFICIAIS JUSTIÇA', '244': 'OUT.AUX.JUSTIÇA', '251': 'RELIGIOSOS', '261': 'ESCRITOR JORNALIST', '271': 'ESCULTOR PINTOR', '272': 'ARTESÃO', '273': 'DECORADOR/CENOGR', '274': 'FOTOGRAFOS', '275': 'MUSICOS/COMPOSITOR', '276': 'ART.TV.CINE.TEATRO', '277': 'ART. DE CIRCO', '280': 'CINEGRAFISTAS ETC', '282': 'OUT.OP.RADIO/TV', '283': 'OP.PROJETO CINEMA', '291': 'BIBLIOTECARIOS', '293': 'OUT.OCUP.', '301': 'PROD AGROP AUT', '302': 'TECN AGROPECUÁRIO', '321': 'CAÇADORES', '322': 'PESCADORES', '331': 'MADEIREIROS', '332': 'LENHADORES', '333': 'CARVOEIROS', '334': 'SERINGUEIROS', '335': 'ERVATEIROS', '341': 'MINEIROS', '345': 'CANTEIROS/MARROEI', '351': 'OP MAQ EXT MINERI', '371': 'GARIMPEIROS', '381': 'SALINEIROS', '391': 'SONDAD.POÇO GÁS', '401': 'TEC EMP EXT MIN', '402': 'TEC IND TRANSF', '403': 'MESTRES IND TEXT', '404': 'MESTRE CONST CIVIL', '406': 'OUTROS MESTRES', '411': 'FORNEIRO METALUR', '412': 'LAMINADORES', '413': 'TREFILADORES', '414': 'MODELADORES MACH', '415': 'GALVANIZADOR ETC', '417': 'POLIDORES ESMERIL', '418': 'FERRAMENTEIROS', '419': 'ESTAMPADORES MECA', '420': 'OPERADOR PRENSA', '421': 'FRESADOR/FURADOR', '422': 'TORNEIRO MECÂNICO', '423': 'AJUSTADOR MONTADOR', '424': 'MECÂNICO VEÍCULO', '425': 'MECÂNICOS', '426': 'SOLDADORES', '427': 'REBITADORES', '428': 'CALDEIREIROS', '430': 'FUNILEIROS', '431': 'LANTERNEIROS', '441': 'CARDADOR/PENTEAD', '442': 'MACAROQUEIRO BOB', '443': 'FIANDEIROS', '444': 'RENDEIROS', '445': 'URDIDORES', '446': 'CORDOEIROS', '447': 'TECELÕES', '448': 'TAPECEIROS', '449': 'REDEIROS', '450': 'ALVEJADORES TINT', '451': 'ESTAMPADOR TEXTIL', '452': 'ACABADOR D PANO', '461': 'CORREEIRO SELEI', '462': 'CURTIDORES', '471': 'AUX DE COSTURA', '473': 'MODELISTAS CORT', '475': 'CHAPELEIRO PALHA', '476': 'CHAPEL. EXC PALHA', '477': 'SAPATEIROS', '478': 'TRAB FABR SAPATO', '479': 'BOLSEIRO CINTEIRO', '481': 'MARCENEIRO', '482': 'CARPINTEIRO', '483': 'TANOEIROS', '484': 'OPER MAQ MARCENARI', '485': 'SERRADORES', '486': 'PREP COMPENSADO', '487': 'ESTOFADOR CAPOTEIR', '488': 'COLCHOEIROS', '489': 'LUSTRADOR MADEIRA', '490': 'CESTEIRO E ESTEI', '491': 'MONT EQ ELÉTRICO', '492': 'MONT EQ ELETRÔNICO', '493': 'REP EQUIPAMENTOS', '494': 'MONTAD RADIO/TV', '495': 'REPAR   RADIO/TV', '496': 'ELETRIC INSTAL', '497': 'INST REP EQ TELE', '498': 'INST REP LIN ELE', '499': 'OP INST ENERG EL', '511': 'ARMADOR CONCRETO', '512': 'PEDREIROS', '513': 'SERV PEDREIRO', '514': 'PINTOR CAIADOR', '515': 'ESTUCADORES', '516': 'LADRILHEIRO TAQ', '517': 'ENCANADORES', '518': 'VIDRACEIRO', '519': 'CALCETEIRO ASFAL', '520': 'CALAFATES', '521': 'OP MAQ CONST CIVIL', '531': 'LING SALSICHEIRO', '532': 'CHARQUEADORES', '533': 'MAGAREFES', '534': 'OCUP IND LATICÍNIO', '536': 'MACARRONEIRO PAS', '537': 'PADEIROS', '538': 'FARINHEIRO MOLEI', '539': 'OCUP IND AÇÚCAR', '540': 'OCUP IND BEBIDAS', '541': 'OCUP IND CAFÉ', '542': 'OCUP IND PESCADO', '543': 'OCUP IND CHA ETC', '544': 'OCUP IND OLEAGINOS', '551': 'LINOTIPISTAS', '552': 'TIPOGRAFOS', '553': 'CLICHERISTA E GR', '554': 'IMPRESSORES', '555': 'REVIS IND GRÁFICA', '556': 'ENCADERNADOR CAR', '561': 'VIDREIRO AMPOLEI', '562': 'CERAMISTAS LOUCE', '563': 'PINTORES CERÂMICA', '564': 'OLEIROS', '571': 'INSP QUALIDADE', '572': 'OURIVES RELOJOEIRO', '573': 'LAPIDADORES', '574': 'BORRACHEIROS', '575': 'VULCANIZADOR REC', '576': 'FOGUETEIROS', '577': 'VASSOUREIROS', '578': 'MARMORISTAS', '579': 'PREPADORES FUMO', '580': 'CHARUTEIROS CIGA', '581': 'PINTORES A PISTOLA', '582': 'OPER EMPILHADEIRA', '583': 'FOGUISTAS', '584': 'EMB MERCADORIAS', '585': 'OCUP IND PAPEL', '586': 'OC IND ART BORRACH', '587': 'OC IND ART CIMENTO', '588': 'SUPERV SEGURANÇA', '589': 'OUT OCUP IND TRA', '601': 'COMERC C/PRÓPRIA', '602': 'VENDEDORES', '603': 'OPER DE CAIXA', '604': 'REPOSIT MERCADORIA', '605': 'DEMONSTRADORES', '611': 'FEIRANTES', '612': 'AGUADEIROS', '613': 'DOCEIROS ETC', '614': 'QUITANDEIROS ETC', '615': 'TRIPEIRO ETC', '616': 'BILHETEIROS', '617': 'OUTR OCUP AMBULANT', '631': 'PRACISTAS E VIAJ', '632': 'REPRES COMERCIAL', '633': 'PROPAGANDISTA', '641': 'CORRETOR SEGUROS', '642': 'CORRETOR IMÓVEIS', '643': 'CORRET TIT/VALOR', '644': 'AVALIADOR LEILOEIR', '645': 'OUTR AG CORRETOR', '646': 'COMPRADORES', '711': 'AVIADOR CIVIL', '712': 'COMISS DE BORDO', '721': 'OFIC MARIN MERCANT', '723': 'MAQ DE EMBARCAÇÃO', '724': 'FOGUISTA EMBARCAÇÃ', '725': 'MARINHEIRO CIVIL', '726': 'TAIFEIROS', '727': 'BARQUEIROS CANOEIR', '731': 'GUINDASTEIROS', '732': 'ESTIVADORES', '741': 'AG ESTR DE FERRO', '742': 'CONDUT CHEF TREM', '743': 'MAQUINISTA TREM', '744': 'FOGUISTAS TREM', '745': 'GUARDA-FREIOS', '751': 'MOTORISTAS', '752': 'TROCADORES', '753': 'CARROCEIRO TROP', '761': 'INSP DESP TRANSP', '762': 'TRAB CONS FERROV', '771': 'AG POSTAL E TELE', '772': 'POSTALISTAS', '773': 'TELEGR. RADIOTEL', '774': 'TELEFONISTAS', '775': 'CARTEIROS', '776': 'GUARDA-FIOS', '801': 'PROPRIETÁRIOS', '805': 'EMPREG DOMÉSTICO', '811': 'HOTEL DON PENSÃO', '812': 'CAMAREIROS', '813': 'COZINHEIROS', '814': 'GARÇONS', '815': 'ATENDENTE BAR', '821': 'CABELEIREIROS', '822': 'BARBEIROS', '823': 'MAQUILADORES ETC', '824': 'MANICURO E PEDICUR', '826': 'ENGRAXATES', '831': 'JOGADOR DE FUTEBOL', '832': 'LUTADOR/ATLETA', '833': 'JUIZ DE ESPORTES', '834': 'TÉCNICO ESPORTES', '841': 'PORTEIROS', '842': 'ASCENSORISTAS', '843': 'VIGIAS', '844': 'SERVENTES', '845': 'CONTÍNUOS', '855': 'INVEST. POLÍCIA', '856': 'GUARDA-CIV INSPETO', '857': 'CARCEREIRO ETC', '858': 'DATILOSCOPISTA', '911': 'APRENDIZES', '912': 'BILHETEIRO DIVER', '913': 'BOMB. EXC C. BOM', '914': 'CAPATAZES', '915': 'DEDETIZADORES', '916': 'GUARD AUTOMÓVEIS', '917': 'GUARDA SANITÁRIO', '918': 'INSPETOR FISCAIS', '919': 'JARDIN EXC LAVOURA', '920': 'LIXEIROS', '921': 'LUBRIFICADORES', '922': 'OPER TRAT ÁGUA', '923': 'OP MAQ EXC AGROP', '924': 'TRABALHAD BRAÇAL', '925': 'TRAB CONS RODOV', '927': 'SEM DECLARAÇÃO'}",OCUPAÇÃO ANTERIOR
V521,ATIVIDADE ANTERIOR,128,3,,,N,,167,504,,"{'11': 'CULTURA AGAVE', '12': 'CULTURA ALGODÃO', '13': 'CULTURA ARROZ', '14': 'CULTURA BANANA', '15': 'CULTURA CACAU', '16': 'CULTURA CAFÉ', '17': 'CULT CANA-AÇÚCAR', '18': 'CULTURA FUMO', '19': 'CULTURA MANDIOCA', '20': 'CULTURA MILHO', '21': 'CULTURA SOJA', '22': 'CULTURA TRIGO', '23': 'HORTIC FLORICULTUR', '24': 'SILVICULTURA', '26': 'PECUÁRIA', '27': 'AVICULTURA', '28': 'APICULT SERICULTUR', '29': 'ATIV NÃO DEFINIDA', '31': 'EXT BORRACHA', '32': 'EXT ERVA-MATE', '34': 'EXT FRUTOS SEMENTE', '35': 'EXT MADEIRAS', '36': 'PROD CARVÃO VEGETA', '37': 'ATIV NÃO DEFINIDA', '41': 'PESCA', '42': 'PISCICULTURA', '50': 'EXT APAR MAT CON', '52': 'EXT CARV PEDRA', '53': 'EXP SALINAS FONT', '54': 'FAIS GAR MIN NMET', '55': 'FAIS GAR MIN MET', '56': 'EXT MIN RADIOATIVO', '58': 'EXT MIN METÁLICOS', '59': 'ATIV NÃO DEFINIDA', '100': 'IND TRAN MIN NMET', '110': 'IND METALÚRGICAS', '120': 'IND MECÂNICAS', '130': 'IND MAT ELET COM', '140': 'IND MAT TRANSPORTE', '150': 'IND MADEIRA', '151': 'IND DOMIC ART PAL', '160': 'IND MOBILIÁRIO', '170': 'IND PAPEL PAPELÃO', '180': 'IND BORRACHA', '190': 'IND COUROS PELES', '200': 'IND QUIMICAS', '201': 'IND PROD PETRÓLEO', '220': 'IND PERF SABÃO VE', '230': 'IND PROD PLÁSTICOS', '240': 'IND TEXTEIS', '241': 'IND DOMIC TEXTEIS', '250': 'IND VESTUÁRIO', '251': 'IND CALÇADOS', '270': 'IND BEBIDAS', '280': 'IND FUMO', '290': 'IND EDIT GRÁFICAS', '300': 'ATIV NÃO DEFINIDA', '340': 'IND CONSTRUÇÃO', '353': 'ABAST ÁGUA ETC', '354': 'LIMP PUBL REM LIXO', '410': 'COM PROD AGROP EX', '412': 'COM TEC ART TECIDO', '413': 'COM MOV TAPEC ART', '414': 'COM PAPEL IMPRESSÃ', '415': 'COM FERRAGENS ETC', '416': 'COM MAQ APAREL IN', '417': 'COM VEICULOS ACES', '420': 'COM AMBULANTE', '421': 'FEIRAS', '422': 'SUPERMERCADOS', '424': 'ATIV NÃO DEFINIDA', '451': 'BANCOS FINANC ETC', '452': 'CAIXAS ECON COOP', '453': 'SEGUROS', '461': 'ADM COM INC IMÓVEI', '462': 'COM TIT E MOEDAS', '463': 'CONC LOTERIAS ETC', '464': 'ORG CART CRÉDITO', '471': 'TRANS TRAÇÃO ANIMA', '473': 'TRANS RODOV CARGA', '474': 'TRANS FERROVIÁRIO', '475': 'TRANS MARÍTIMO', '476': 'TRANSPORTE AÉREO', '477': 'ATIV NÃO DEFINIDA', '481': 'SERV POSTAIS', '482': 'COMUNIC TELEFÔNICA', '511': 'SERV ALOJAMENTO', '512': 'SERV ALIMENTAÇÃO', '521': 'SERV REP ELÉTRICA', '522': 'SERV REP VEÍCULOS', '523': 'SERV REP MADEIRA', '524': 'SERV REP INSTALAÇÃ', '532': 'SERV CONFECÇÃO', '533': 'SERV PESS N INCLUS', '541': 'SERV CONS VESTUÁRI', '543': 'SERV VIG E GUARDA', '544': 'SER DOM REMUNERADO', '545': 'SER DOMIC N INCLUS', '551': 'SERV DIV ARTIST', '552': 'SERV RADIODIFUSÃO', '571': 'SERV JURÍDICO', '573': 'SERV ASSESSORIA', '574': 'SERV ENGEN ARQUI', '576': 'SERV TRADUÇÃO', '577': 'ESTUD DE PINTURA', '578': 'SERV TECN-PROFISS', '582': 'SERV AUX COM MERC', '583': 'SERV ARMAZENAGEM', '584': 'SERV AUX COM/INDU', '585': 'SERV AUX SEGUROS', '586': 'SERV TRANSP N ROD', '587': 'SERV AUX TRANS RO', '588': 'SERV AUX TRANS MA', '589': 'SERV AUX TOD ATIV', '610': 'ASSIST BENEFICEN', '611': 'PREV SOC PÚBLICA', '612': 'PREV SOC PARTICULA', '613': 'SIND ASSOC CLASSE', '614': 'INST CIENT TECNOL', '615': 'INST FILOS CULTURA', '616': 'CULTO ATIV AUXILIA', '617': 'ENT DESP RECREATIV', '618': 'ORGANIZ CIV POLIT', '619': 'SERV COMUNIT SOC', '623': 'SERV ODONTOLOGICO', '624': 'SERV VETERINÁRIA', '631': 'ENSINO PÚBLICO', '632': 'ENSINO PARTICULAR', '711': 'PODER LEGISLATIVO', '712': 'JUSTIÇA ATIV AUXI', '713': 'SERV ADM FEDERAIS', '714': 'SERV ADM ESTADUAIS', '715': 'SERV ADM MUNICIPAI', '721': 'EXÉRCITO', '722': 'MARINHA DE GUERRA', '723': 'AERONÁUTICA', '724': 'POLÍCIA MILITAR', '725': 'POLÍCIA CIVIL', '726': 'CORPO BOMBEIROS', '727': 'OUTR ORG GOV SEGU', '801': 'ORG INTER REP EST', '902': 'ATIV MAL DEFINIDA'}",ATIVIDADE ANTERIOR
V522,POSIÇÃO OCUP.ANTERIOR,131,1,,,N,,5,,,"{'2': 'EMPREGADO', '4': 'CONTA PRÓPRIA', '6': 'EMPREGADOR', '9': 'SEM DECLARAÇÃO'}",POSIÇÃO OCUP.ANTERIOR
V523,TEMPO ULT.EMPREG(ANOS),132,2,,,N,,,,,{},TEMPO ULT.EMPREG(ANOS)
V573,TEMPO ULT.EMPREG(MÊS),134,2,,,N,,,,,{},TEMPO ULT.EMPREG(MÊS)
